% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
2222	1	10	3	0	6	325	0	1	1	0
2222	3	25	4	0	8	209	0	1	1	0
2222	3	22	28	0	28	1095	0	1	0	0
2223	1	1	12	0	28	2292	2	0	1	0
2223	2	13	16	0	8	437	0	1	1	1
2223	3	16	17	0	6	325	0	1	1	0
2224	1	13	16	0	8	209	0	1	1	0
2224	1	7	25	0	8	209	0	1	1	0
2224	3	26	16	0	8	437	0	1	1	0
2225	3	17	14	0	6	153	0	1	1	0
2225	3	16	17	0	6	153	0	1	0	0
2226	1	1	12	0	28	1095	0	1	0	0
2226	1	4	18	0	28	1095	0	1	0	0
2226	3	30	25	0	4	105	0	1	1	0
2226	3	23	30	0	28	1095	0	1	0	0
2227	1	14	2	0	6	153	0	1	1	0
2227	1	6	23	0	8	209	0	1	1	0
2227	3	29	3	0	10	549	0	1	1	0
2228	1	2	1	0	8	437	0	1	1	0
2229	1	15	13	0	28	1095	0	1	1	0
2229	1	11	24	0	12	301	0	1	0	0
2229	3	22	28	0	28	1095	1	0	0	0
2230	1	9	26	0	8	437	0	1	1	0
2230	3	20	29	0	28	2292	0	1	0	0
2232	1	12	4	0	12	621	0	1	1	0
2232	3	19	1	0	4	225	0	1	1	0
2233	1	1	12	0	28	1095	1	0	0	0
2233	1	4	18	0	28	1095	1	0	0	0
2233	3	17	14	0	6	153	0	1	1	0
2233	3	23	30	0	28	1095	1	0	0	0
2234	1	12	4	0	12	301	0	1	0	0
2234	1	15	13	0	28	1095	0	1	0	0
2234	3	24	23	0	4	105	0	1	1	0
2234	3	28	26	0	10	261	0	1	1	0
2234	4	24	23	0	4	105	0	1	1	1
2234	4	28	26	0	10	261	0	1	0	1
2235	1	5	15	0	4	225	0	1	1	0
2235	3	24	23	0	4	105	0	1	0	0
2235	3	27	24	0	8	209	0	1	1	0
2236	1	10	3	0	6	153	0	1	1	0
2236	1	11	24	0	12	301	1	0	1	0
2236	3	27	24	0	8	209	0	1	0	0
2236	3	22	28	0	28	1095	2	0	1	0
2237	1	4	18	0	28	2292	0	1	0	0
2237	3	20	29	0	28	2292	1	0	0	0
2238	1	3	14	0	8	209	0	1	1	0
2238	1	5	15	0	4	105	0	1	0	0
2239	3	26	16	0	8	437	0	1	1	0
2240	1	1	12	0	28	1095	2	0	1	0
