% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
2150	4	23	30	0	28	2292	0	1	1
2151	1	11	24	0	12	301	0	1	0
2151	1	13	16	0	8	209	0	1	0
2151	2	13	16	0	8	209	0	1	1
2151	2	11	24	0	12	301	0	1	1
2151	3	23	30	0	28	1095	0	0	0
2151	3	25	4	0	8	209	0	1	0
2151	4	25	4	0	8	437	0	1	1
2152	1	7	25	0	8	209	0	1	0
2152	1	14	2	0	6	153	0	1	0
2152	2	14	2	0	6	153	0	1	1
2152	2	7	25	0	8	209	0	1	1
2152	3	20	29	0	28	2292	0	1	0
2152	4	20	29	0	28	2292	0	1	1
2153	1	14	2	0	6	153	0	1	0
2153	1	15	13	0	28	1095	0	0	0
2153	2	14	2	0	6	325	0	1	1
2153	3	28	26	0	10	549	0	1	0
2153	4	28	26	0	10	549	0	1	1
2154	1	5	15	0	6	153	0	1	0
2154	1	15	13	0	28	1095	0	1	0
2154	2	15	13	0	28	1095	0	1	1
2154	2	5	15	0	6	153	0	1	1
2154	3	30	25	0	4	225	0	1	0
2154	4	30	25	0	4	225	0	1	1
2155	1	1	12	0	28	2292	0	1	0
2155	2	1	12	0	28	2292	0	1	1
2155	3	17	14	0	6	325	0	1	0
2155	4	17	14	0	6	325	0	1	1
2156	1	10	3	0	8	209	0	1	0
2156	1	15	13	0	28	1095	0	1	0
2156	2	10	3	0	8	209	0	1	1
2156	2	15	13	0	28	1095	0	1	1
2156	3	17	14	0	6	325	0	1	0
2156	4	17	14	0	6	325	0	1	1
2157	1	4	18	0	28	2292	0	1	0
2157	2	4	18	0	28	2292	0	1	1
2157	3	23	30	0	28	1095	0	1	0
2157	3	26	16	0	8	209	0	1	0
2157	4	26	16	0	8	209	0	1	1
2157	4	23	30	0	28	1095	0	1	1
2158	1	2	1	0	8	437	0	1	0
2158	2	2	1	0	8	437	0	1	1
2159	1	6	23	0	8	437	0	1	0
2159	2	6	23	0	8	437	0	1	1
2159	3	20	29	0	28	2292	0	0	0
2160	1	4	18	0	28	1095	0	1	0
2160	1	13	16	0	8	209	0	1	0
2160	2	4	18	0	28	1095	0	1	1
2160	2	13	16	0	8	209	0	1	1
2161	1	9	26	0	8	437	0	1	0
2161	2	9	26	0	8	437	0	1	1
2161	3	28	26	0	10	549	0	1	0
2161	4	28	26	0	10	549	0	1	1
2162	1	1	12	0	28	2292	0	0	0
2162	2	3	14	0	8	437	0	1	1
2162	3	29	3	0	10	549	0	1	0
2162	4	29	3	0	10	549	0	1	1
2163	1	3	14	0	8	437	0	1	0
2163	3	21	15	0	10	549	0	1	0
2163	4	21	15	0	10	549	0	1	1
2164	1	4	18	0	28	2292	0	0	0
2164	2	3	14	0	8	437	0	1	1
2164	3	23	30	0	28	1095	0	0	0
2164	3	26	16	0	8	209	0	1	0
2164	4	26	16	0	8	209	0	1	1
2164	4	23	30	0	28	1095	0	1	1
2165	1	3	14	0	8	209	0	1	0
2165	1	14	2	0	6	153	0	1	0
2165	2	14	2	0	6	325	0	1	1
2165	3	18	2	0	10	173	0	1	0
2165	3	23	30	0	28	749	0	1	0
2165	3	27	24	0	8	137	0	1	0
2165	4	18	2	0	10	261	0	1	1
2165	4	27	24	0	8	209	0	1	1
2166	3	25	4	0	8	437	0	1	0
2166	4	25	4	0	8	437	0	1	1
2167	1	14	2	0	6	325	0	1	0
2167	2	14	2	0	6	325	0	1	1
2167	3	25	4	0	8	209	0	1	0
2167	3	27	24	0	8	209	0	1	0
2167	4	25	4	0	8	209	0	1	1
2167	4	27	24	0	8	209	0	1	1
2168	1	1	12	0	28	1095	0	1	0
2168	1	15	13	0	28	1095	0	1	0
2168	2	1	12	0	28	1095	0	1	1
2168	2	15	13	0	28	1095	0	1	1
2168	3	19	1	0	4	225	0	1	0
2168	4	19	1	0	4	225	0	1	1
2169	1	1	12	0	28	2292	0	0	0
2169	2	1	12	0	28	1095	0	1	1
2169	2	5	15	0	6	153	0	1	1
2169	3	30	25	0	4	225	0	1	0
2169	4	30	25	0	4	225	0	1	1
2170	1	1	12	0	28	549	0	1	0
2170	1	5	15	0	6	75	0	1	0
2170	1	10	3	0	6	75	0	1	0
2170	1	12	4	0	12	149	0	1	0
2170	2	10	3	0	6	153	0	1	1
2170	2	12	4	0	12	301	0	1	1
2170	3	17	14	0	6	325	0	1	0
2170	4	17	14	0	6	325	0	1	1
2171	1	4	18	0	28	2292	0	0	0
2171	2	4	18	0	28	1095	0	1	1
2171	2	6	23	0	8	209	0	1	1
2171	3	23	30	0	28	1095	0	0	0
2171	3	26	16	0	8	209	0	1	0
2171	4	26	16	0	8	437	0	1	1
2172	1	4	18	0	28	749	0	1	0
2172	1	6	23	0	8	137	0	1	0
2172	1	7	25	0	8	137	0	1	0
2172	2	7	25	0	8	437	0	1	1
2172	3	24	23	0	4	225	0	1	0
2172	4	24	23	0	4	225	0	1	1
2173	1	2	1	0	8	437	0	1	0
2173	2	2	1	0	8	437	0	1	1
