% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.096	3	21	110	7	15	26	1836	0	0	0
1.096	3	21	110	7	15	26	1836	0	0	1
1.097	1	8	110	8	17	26	1836	0	0	0
1.097	1	12	110	8	4	24	1620	0	0	1
1.097	3	25	110	8	4	24	1620	0	0	0
1.097	3	25	110	8	4	24	1620	0	0	1
1.098	1	12	110	9	4	24	1620	0	0	0
1.098	1	6	110	9	23	24	1620	0	0	1
1.099	1	3	110	10	14	24	1620	0	0	0
1.099	1	3	110	10	14	24	1620	0	0	1
1.099	3	28	110	10	26	24	1620	0	0	0
1.099	3	28	110	10	26	24	1620	0	0	1
1.1	1	10	111	1	3	20	1191	0	0	0
1.1	1	9	111	1	26	26	1836	0	0	1
1.1	3	19	111	1	1	22	1383	0	0	0
1.1	3	19	111	1	1	22	1383	0	0	1
1.101	1	9	111	2	26	26	1836	0	0	0
1.101	1	10	111	2	3	20	1191	0	0	1
1.102	1	6	111	3	23	24	1620	0	0	0
1.102	1	7	111	3	25	20	1191	0	0	1
1.102	3	18	111	3	2	26	1836	0	0	0
1.103	1	14	111	4	2	24	1620	0	0	0
1.103	1	11	111	4	24	24	1620	0	0	1
1.103	3	21	111	4	15	26	1836	0	0	0
1.103	3	17	111	4	14	22	1383	0	0	1
1.104	1	11	111	5	24	14	775	0	0	0
1.104	1	5	111	5	15	22	1383	0	0	1
1.104	3	26	111	5	16	12	597	0	0	0
1.104	3	26	111	5	16	22	1383	0	0	1
1.105	1	13	111	6	16	22	1383	0	0	0
1.105	1	13	111	6	16	22	1383	0	0	1
1.105	3	27	111	6	24	22	1383	0	0	0
1.105	3	27	111	6	24	22	1383	0	0	1
1.106	1	3	111	7	14	24	1620	0	0	0
1.106	3	28	111	7	26	24	1620	0	0	0
1.106	3	16	111	7	17	20	1191	0	0	1
1.107	1	10	111	8	3	20	1191	0	0	0
1.107	3	19	111	8	1	22	1383	0	0	0
1.107	3	23	111	8	30	24	1620	0	0	1
1.108	1	5	111	9	15	10	469	0	0	0
1.108	3	30	111	9	25	12	597	0	0	0
